# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 6638751665
#
# Overhead  Command    Shared Object      Symbol                                      
# ........  .........  .................  ............................................
#
     0.09%  crypt.out  [kernel.kallsyms]  [k] _raw_spin_lock
     0.09%  crypt.out  [kernel.kallsyms]  [k] rcu_read_unlock_strict
     0.09%  crypt.out  [kernel.kallsyms]  [k] free_unref_page_list
     0.09%  crypt.out  [kernel.kallsyms]  [k] uncharge_page
     0.08%  crypt.out  [kernel.kallsyms]  [k] pud_val
     0.07%  crypt.out  [kernel.kallsyms]  [k] __page_set_anon_rmap
     0.07%  crypt.out  [kernel.kallsyms]  [k] pmd_pfn
     0.07%  crypt.out  [kernel.kallsyms]  [k] unlock_page_memcg
     0.06%  crypt.out  [kernel.kallsyms]  [k] add_mm_counter_fast
     0.06%  crypt.out  crypt.out          [.] 0x0000000000001134
     0.06%  crypt.out  [kernel.kallsyms]  [k] charge_memcg
     0.06%  crypt.out  [kernel.kallsyms]  [k] lru_cache_add_inactive_or_unevictable
     0.06%  crypt.out  [kernel.kallsyms]  [k] error_return
     0.04%  crypt.out  [kernel.kallsyms]  [k] arch_local_irq_enable
     0.04%  crypt.out  [kernel.kallsyms]  [k] should_fail_alloc_page
     0.04%  crypt.out  [kernel.kallsyms]  [k] pmd_page_vaddr
     0.04%  crypt.out  [kernel.kallsyms]  [k] page_counter_try_charge
     0.04%  crypt.out  [kernel.kallsyms]  [k] __pagevec_lru_add
     0.04%  crypt.out  [kernel.kallsyms]  [k] mem_cgroup_update_lru_size
     0.04%  crypt.out  [kernel.kallsyms]  [k] page_add_new_anon_rmap
     0.04%  crypt.out  [kernel.kallsyms]  [k] kernel_init_free_pages.part.0
     0.04%  crypt.out  [kernel.kallsyms]  [k] lock_page_memcg
     0.04%  crypt.out  [kernel.kallsyms]  [k] __tlb_remove_page_size
     0.04%  crypt.out  [kernel.kallsyms]  [k] __mem_cgroup_uncharge_list
     0.04%  crypt.out  [kernel.kallsyms]  [k] native_set_pte
     0.04%  crypt.out  [kernel.kallsyms]  [k] __cond_resched
     0.03%  crypt.out  [kernel.kallsyms]  [k] __radix_tree_lookup
     0.03%  crypt.out  [kernel.kallsyms]  [k] policy_nodemask
     0.03%  crypt.out  [kernel.kallsyms]  [k] pfn_pte
     0.03%  crypt.out  [kernel.kallsyms]  [k] pgd_none
     0.03%  crypt.out  [kernel.kallsyms]  [k] irqentry_exit
     0.03%  crypt.out  [kernel.kallsyms]  [k] rcu_all_qs
     0.03%  crypt.out  [kernel.kallsyms]  [k] _find_first_bit
     0.03%  crypt.out  [kernel.kallsyms]  [k] vm_normal_page
     0.01%  crypt.out  [kernel.kallsyms]  [k] __mem_cgroup_charge
     0.01%  crypt.out  [kernel.kallsyms]  [k] _nv033087rm
     0.01%  crypt.out  [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     0.01%  crypt.out  [kernel.kallsyms]  [k] irqentry_enter_from_user_mode
     0.01%  crypt.out  [kernel.kallsyms]  [k] mem_cgroup_from_task
     0.01%  crypt.out  [kernel.kallsyms]  [k] fpregs_assert_state_consistent
     0.01%  crypt.out  [kernel.kallsyms]  [k] uncharge_batch
     0.01%  crypt.out  [kernel.kallsyms]  [k] queued_spin_unlock
     0.01%  crypt.out  [kernel.kallsyms]  [k] set_pte
     0.01%  crypt.out  [kernel.kallsyms]  [k] free_pages_and_swap_cache
     0.00%  perf-exec  [kernel.kallsyms]  [k] nmi_restore
     0.00%  crypt.out  [kernel.kallsyms]  [k] end_repeat_nmi
     0.00%  perf-exec  [kernel.kallsyms]  [k] native_write_msr
     0.00%  crypt.out  [kernel.kallsyms]  [k] native_write_msr


#
# (Cannot load tips.txt file, please install perf!)
#
